Student_Name,Roll_Number,Gender,Age,10th_Percentage,12th_Percentage,UG_CGPA,Backlogs_Count,Attendance_%,Technical_Skill_Score,Primary_Tech,Soft_Skill_Score,Soft_Skill_Strong_Area,Programming_Languages_Known,Projects_Count,Internships_Count,Certifications_Count,Study_Hours_per_Day,Preferred_Domain,Career_Path,Placement_Eligible,Package_LPA
Navya Yadav,R20240164,Male,20,74.57,73.43,4.53,1,83.3,60,Python,85,Leadership,4,3,0,1,2.2,Cloud Computing,Cloud Engineer,Yes,8.39
Anika Reddy,R20250165,Male,23,84.22,86.16,6.91,1,78.2,61,C,70,Problem-Solving,1,6,0,4,3.6,AI/ML,Data Analyst,Yes,8.29
Arjun Roy,R20230166,Female,19,74.3,67.41,8.5,0,68.8,74,JavaScript,54,Problem-Solving,1,0,2,1,3.1,Web Development,Web Developer,Yes,5.36
Aditya Singh,R20240167,Male,18,81.77,82.28,8.05,2,85.4,86,Python,59,Leadership,5,5,1,4,1.9,AI/ML,Data Analyst,Yes,8.95
Diya Nair,R20250168,Male,19,77.71,59.76,7.91,1,79.4,70,Python,83,Critical Thinking,2,3,0,1,0.0,Cybersecurity,Network Engineer,Yes,7.1
Reyansh Pathak,R20230169,Male,20,89.26,88.14,7.06,1,80.4,83,C,90,Leadership,3,2,0,4,2.1,Cybersecurity,Security Analyst,Yes,7.68
Navya Nair,R20240170,Female,21,77.49,67.71,5.87,1,69.9,49,Python,89,Problem-Solving,2,1,0,2,1.2,Mobile Development,Android Developer,No,3.49
Meera Sheikh,R20250171,Female,20,60.27,67.51,8.02,0,97.9,57,JavaScript,77,Project Management,6,7,2,2,1.7,Web Development,Web Developer,Yes,5.45
Aarav Chowdhury,R20230172,Male,21,90.62,95.28,6.4,0,90.8,52,C,62,Leadership,2,2,0,0,1.2,Web Development,Web Developer,Yes,4.94
Ishaan Patel,R20240173,Male,19,68.94,71.74,10.0,0,91.6,69,Java,17,Leadership,4,1,1,2,4.2,AI/ML,Software Developer,Yes,7.26
Arjun Reddy,R20250174,Male,23,71.46,80.59,8.08,1,78.9,58,JavaScript,70,Leadership,3,2,0,3,4.2,AI/ML,Data Scientist,Yes,11.28
Vihaan Patel,R20230175,Female,20,72.04,66.35,6.7,0,64.7,76,Java,66,Leadership,4,3,0,3,3.7,Web Development,Backend Developer,Yes,6.36
Navya Kumar,R20240176,Male,22,91.74,100.0,6.67,0,100.0,49,JavaScript,68,Communication,2,4,0,2,2.4,Cloud Computing,DevOps Engineer,Yes,7.92
Krishna Nair,R20250177,Female,21,56.64,62.23,7.29,0,81.4,65,C,67,Leadership,6,4,0,2,2.0,Web Development,Backend Developer,Yes,5.49
Meera Yadav,R20230178,Male,21,100.0,98.58,7.11,1,74.5,75,Python,46,Problem-Solving,2,3,1,2,1.0,Web Development,Software Developer,Yes,5.4
Ananya Yadav,R20240179,Female,21,88.56,95.37,8.74,0,86.2,31,JavaScript,74,Problem-Solving,4,1,0,1,3.9,Mobile Development,Android Developer,Yes,5.07
Krishna Sheikh,R20250180,Male,21,80.23,73.59,7.62,0,93.7,98,JavaScript,75,Communication,5,3,0,3,3.8,Data Science,ML Engineer,Yes,10.2
Myra Reddy,R20230181,Male,21,77.45,72.5,6.52,1,81.8,59,Java,76,Leadership,5,2,1,0,3.4,Mobile Development,iOS Developer,Yes,6.94
Vivaan Gupta,R20240182,Male,22,80.86,77.21,9.67,0,94.8,32,Java,80,Critical Thinking,2,1,0,4,1.5,Web Development,Software Developer,Yes,5.21
Aadhya Reddy,R20250183,Female,21,83.21,80.04,7.46,0,92.8,67,Python,75,Leadership,5,2,0,2,2.4,Web Development,Web Developer,Yes,5.98
Vivaan Sharma,R20230184,Female,22,84.45,78.11,8.32,0,71.2,65,C,60,Problem-Solving,2,3,1,0,2.7,Cybersecurity,Network Engineer,Yes,6.07
Ananya Kumar,R20240185,Male,20,83.56,90.9,6.67,0,75.3,63,JavaScript,65,Project Management,3,4,0,1,0.7,Cloud Computing,Cloud Engineer,Yes,7.96
Krishna Aggarwal,R20250186,Female,23,78.9,77.35,7.84,1,91.6,80,Java,67,Project Management,4,3,0,2,4.5,Data Science,Software Developer,Yes,6.82
Sara Chowdhury,R20230187,Female,19,76.03,78.15,7.77,1,54.9,76,Python,68,Critical Thinking,6,3,0,3,1.2,Web Development,Frontend Developer,Yes,5.37
Aadhya Chowdhury,R20240188,Male,23,76.49,73.07,5.13,1,80.5,69,JavaScript,81,Leadership,4,4,0,2,1.9,AI/ML,Software Developer,Yes,9.43
Aarav Patel,R20250189,Male,20,76.05,65.13,9.82,0,67.7,71,Python,76,Communication,6,3,3,2,0.7,Web Development,Software Developer,Yes,6.52
Aditya Kumar,R20230190,Male,18,89.34,90.96,8.95,2,77.2,62,Python,97,Leadership,2,2,0,2,2.6,Cloud Computing,DevOps Engineer,Yes,9.18
Navya Verma,R20240191,Male,21,83.94,72.47,6.92,0,79.0,92,JavaScript,99,Critical Thinking,3,2,3,2,2.5,Web Development,Frontend Developer,Yes,6.1
Diya Bose,R20250192,Female,19,48.6,48.19,6.08,0,78.4,40,JavaScript,67,Critical Thinking,3,5,0,2,4.0,Cloud Computing,SRE,Yes,8.54
Navya Kumar,R20230193,Female,22,84.56,76.35,7.82,0,76.5,66,Java,8,Critical Thinking,5,0,2,2,1.7,Data Science,ML Engineer,Yes,7.58
Aadhya Kumar,R20240194,Female,20,79.95,91.87,7.5,1,71.0,65,C,85,Project Management,2,4,2,1,1.5,AI/ML,ML Engineer,Yes,10.82
Vivaan Nair,R20250195,Male,20,77.81,83.28,7.83,1,100.0,77,Python,58,Leadership,3,4,0,1,2.9,Cybersecurity,Security Analyst,Yes,6.29
Diya Verma,R20230196,Male,18,74.11,74.74,7.63,0,100.0,50,Java,54,Leadership,2,1,1,1,0.3,Web Development,Web Developer,Yes,4.06
Diya Yadav,R20240197,Female,20,89.24,96.82,8.01,2,70.4,36,Python,60,Communication,3,2,1,0,4.4,Cloud Computing,Software Developer,Yes,6.61
Sai Patel,R20250198,Female,18,87.48,82.4,9.14,0,97.8,67,JavaScript,59,Critical Thinking,5,5,2,2,1.2,Web Development,Web Developer,Yes,6.5
Diya Chowdhury,R20230199,Female,18,70.27,73.53,8.08,0,78.0,68,Other,75,Critical Thinking,2,3,0,1,5.0,Data Science,Data Scientist,Yes,10.66
Aadhya Khan,R20240200,Female,22,82.07,83.27,6.14,0,83.3,88,JavaScript,43,Problem-Solving,9,1,1,2,1.8,Data Science,Data Analyst,Yes,7.88
Arjun Singh,R20250201,Female,22,68.28,69.86,9.04,0,81.4,44,Python,50,Problem-Solving,7,0,1,1,1.1,Cloud Computing,DevOps Engineer,Yes,7.76
Reyansh Aggarwal,R20230202,Male,21,64.2,71.83,9.37,1,75.4,82,JavaScript,71,Project Management,5,0,0,2,3.5,Web Development,Web Developer,Yes,6.35
Aadhya Sharma,R20240203,Male,19,71.73,76.12,10.0,0,91.8,100,Python,75,Leadership,5,2,0,2,3.4,AI/ML,ML Engineer,Yes,11.26
Reyansh Das,R20250204,Female,20,86.62,88.35,6.05,0,83.3,58,C,76,Communication,3,3,0,1,3.5,AI/ML,Data Analyst,Yes,7.7
Aadhya Singh,R20230205,Female,20,87.53,77.6,7.69,2,77.2,43,C,54,Communication,4,2,0,1,2.9,Data Science,Data Scientist,No,5.88
Krishna Aggarwal,R20240206,Male,19,83.13,77.37,4.9,3,69.0,57,Python,51,Critical Thinking,6,3,1,0,5.5,Data Science,ML Engineer,No,5.6
Vihaan Mishra,R20250207,Male,23,85.25,84.51,8.06,0,73.1,64,JavaScript,58,Communication,4,1,3,4,1.2,Data Science,Data Scientist,Yes,9.36
Vivaan Thakur,R20230208,Female,22,83.16,83.72,6.74,3,65.6,73,Python,70,Critical Thinking,4,3,1,4,4.4,Web Development,Frontend Developer,Yes,5.4
Sai Yadav,R20240209,Male,20,71.59,64.81,9.71,1,82.1,55,Python,88,Leadership,2,5,0,2,0.9,Data Science,Software Developer,Yes,7.34
Sara Roy,R20250210,Male,21,82.32,96.79,6.47,0,70.0,89,Other,35,Communication,4,2,1,2,4.8,Cybersecurity,Network Engineer,Yes,7.33
Ishaan Singh,R20230211,Male,21,86.0,95.1,5.37,1,79.3,46,C,63,Critical Thinking,4,4,2,2,3.2,Cloud Computing,Cloud Engineer,Yes,8.72
Sai Sharma,R20240212,Female,18,85.54,89.15,6.83,0,95.7,36,JavaScript,46,Leadership,4,2,0,3,4.7,Data Science,Data Analyst,Yes,6.76
Muhammad Mishra,R20250213,Female,20,89.89,90.32,5.03,2,94.0,82,Python,41,Leadership,4,1,1,1,3.9,AI/ML,Data Analyst,No,6.7
Ananya Reddy,R20230214,Male,19,85.08,83.81,8.3,1,81.7,28,C,81,Critical Thinking,3,2,1,3,0.2,Web Development,Web Developer,Yes,5.19
Aditya Reddy,R20240215,Female,19,81.51,75.8,4.92,2,81.1,61,JavaScript,74,Critical Thinking,4,2,0,3,2.4,AI/ML,ML Engineer,No,6.39
Diya Sheikh,R20250216,Male,20,88.7,89.16,7.43,0,100.0,100,C,73,Project Management,4,0,0,0,1.3,Mobile Development,Software Developer,Yes,6.89
Isha Chowdhury,R20230217,Male,23,77.73,79.28,4.91,2,87.2,64,Java,80,Leadership,6,3,0,4,4.6,Data Science,ML Engineer,No,6.0
Ananya Sharma,R20240218,Female,21,69.18,61.73,7.02,1,78.7,46,Python,59,Critical Thinking,2,2,0,1,3.8,AI/ML,Data Scientist,Yes,9.69
Vihaan Reddy,R20250219,Female,20,76.37,78.38,9.37,0,67.7,63,C,60,Leadership,4,1,0,3,3.0,Cybersecurity,Security Analyst,Yes,7.01
Reyansh Bose,R20230220,Female,21,70.55,69.62,7.83,0,85.9,63,C,99,Communication,6,3,0,2,2.3,AI/ML,Data Analyst,Yes,8.88
Krishna Verma,R20240221,Female,23,71.25,59.8,6.36,0,90.3,67,C,62,Problem-Solving,3,0,1,3,3.3,Data Science,Software Developer,Yes,7.42
Vihaan Khan,R20250222,Female,22,76.55,71.39,7.36,2,75.7,75,C,77,Problem-Solving,3,4,0,1,1.7,Web Development,Web Developer,Yes,6.0
Aadhya Roy,R20230223,Male,21,70.08,67.6,7.42,0,84.9,47,JavaScript,66,Critical Thinking,3,2,1,0,3.1,Data Science,Software Developer,Yes,6.9
Ananya Jha,R20240224,Male,20,74.92,86.25,7.97,1,78.4,91,Python,38,Critical Thinking,4,5,0,2,2.7,Data Science,Data Analyst,Yes,7.71
Meera Sheikh,R20250225,Male,22,59.06,62.4,5.76,2,80.2,68,Python,35,Leadership,2,6,0,0,1.8,Cybersecurity,Software Developer,Yes,7.1
Vihaan Mishra,R20230226,Male,21,80.13,72.12,8.11,0,57.1,76,Python,57,Critical Thinking,3,2,0,0,3.6,Data Science,Data Scientist,Yes,9.94
Aarohi Yadav,R20240227,Female,22,78.01,80.93,4.15,1,79.8,54,Other,82,Leadership,2,0,0,2,5.1,Cloud Computing,DevOps Engineer,Yes,8.35
Krishna Verma,R20250228,Male,21,69.83,60.55,6.64,1,91.7,85,JavaScript,78,Critical Thinking,3,1,0,2,1.1,Web Development,Software Developer,Yes,5.81
Aadhya Sharma,R20230229,Female,22,84.59,91.09,6.81,0,75.7,60,JavaScript,80,Leadership,3,0,0,3,3.9,Data Science,Data Analyst,Yes,6.96
Anika Chowdhury,R20240230,Female,20,87.38,84.55,8.16,1,82.5,68,JavaScript,51,Critical Thinking,3,2,1,2,1.8,AI/ML,Data Analyst,Yes,8.4
Muhammad Roy,R20250231,Female,22,61.92,61.36,7.43,0,74.4,49,Python,90,Project Management,4,2,0,2,3.5,Web Development,Web Developer,Yes,4.79
Aadhya Gupta,R20230232,Male,21,70.37,78.32,5.71,1,85.6,48,Python,52,Leadership,3,1,2,3,2.1,AI/ML,Data Analyst,Yes,7.56
Ananya Khan,R20240233,Female,24,70.31,62.59,6.22,0,79.8,75,Java,69,Project Management,2,2,1,1,2.4,Data Science,ML Engineer,Yes,9.6
Ananya Patel,R20250234,Male,19,68.6,60.22,7.64,2,72.6,57,Java,66,Project Management,5,1,1,2,2.6,Web Development,Software Developer,Yes,4.93
Ishaan Sheikh,R20230235,Male,23,86.29,82.79,7.31,1,95.3,50,Python,63,Project Management,4,3,0,2,4.4,Web Development,Web Developer,Yes,4.62
Ishaan Jha,R20240236,Female,21,76.06,82.29,6.71,0,91.3,54,Python,86,Project Management,4,0,1,3,2.7,Data Science,Software Developer,Yes,6.39
Ananya Mishra,R20250237,Male,20,75.35,66.23,6.82,0,76.0,75,Other,55,Communication,2,2,0,2,2.4,Mobile Development,Software Developer,Yes,5.97
Ishaan Chowdhury,R20230238,Male,20,57.96,40.97,8.24,0,87.0,54,JavaScript,46,Problem-Solving,8,1,1,3,2.7,Web Development,Backend Developer,Yes,4.88
Arjun Yadav,R20240239,Female,20,84.35,81.64,6.78,0,87.4,62,Python,66,Communication,6,0,0,3,5.1,Cloud Computing,Software Developer,Yes,7.72
Aadhya Mishra,R20250240,Male,21,65.61,68.92,7.29,2,88.4,64,JavaScript,60,Critical Thinking,2,1,0,2,3.5,Data Science,Data Scientist,Yes,8.94
Reyansh Khan,R20230241,Female,21,78.6,85.8,10.0,1,65.1,33,Python,100,Critical Thinking,6,3,0,0,2.1,AI/ML,ML Engineer,Yes,10.12
Aarohi Nair,R20240242,Female,20,80.77,77.99,5.69,3,92.1,40,C,76,Problem-Solving,4,4,0,3,4.6,AI/ML,Data Scientist,No,6.41
Isha Chowdhury,R20250243,Female,20,91.61,89.14,5.18,2,76.3,69,Python,60,Problem-Solving,8,3,2,3,3.0,Mobile Development,iOS Developer,Yes,5.94
Aarav Nair,R20230244,Male,24,64.91,71.83,8.34,1,78.4,52,Python,50,Problem-Solving,3,4,1,3,1.8,Cybersecurity,Security Analyst,Yes,6.18
Ishaan Yadav,R20240245,Male,23,47.8,40.0,6.59,0,100.0,81,C,38,Project Management,3,1,0,2,3.3,Mobile Development,Android Developer,Yes,6.23
Aadhya Bose,R20250246,Female,21,79.84,77.51,7.02,0,85.0,79,JavaScript,51,Communication,3,4,2,2,2.6,Cybersecurity,SOC Engineer,Yes,7.61
Meera Das,R20230247,Male,21,96.01,97.15,6.46,0,78.1,76,Python,68,Critical Thinking,4,1,0,2,0.0,Data Science,Data Analyst,Yes,7.3
Sara Pathak,R20240248,Female,21,90.39,93.09,7.09,0,59.9,93,Java,87,Communication,4,3,1,3,3.2,Mobile Development,Software Developer,Yes,7.11
Sara Yadav,R20250249,Female,21,80.1,77.04,9.32,1,95.9,63,C,83,Communication,3,1,0,2,1.5,Mobile Development,iOS Developer,Yes,6.07
Anika Thakur,R20230250,Female,19,73.08,73.29,8.36,1,68.5,74,C,69,Communication,3,5,2,1,1.3,Web Development,Web Developer,Yes,5.55
Reyansh Gupta,R20240251,Male,20,86.07,71.14,8.43,1,72.0,55,JavaScript,61,Problem-Solving,2,3,1,3,0.5,Cloud Computing,Cloud Engineer,Yes,7.92
Ishaan Sheikh,R20250252,Male,18,68.26,64.31,5.7,1,78.7,100,Java,70,Problem-Solving,5,2,1,2,3.0,AI/ML,ML Engineer,Yes,11.08
Meera Das,R20230253,Female,21,82.76,85.48,6.02,1,96.2,96,Other,58,Critical Thinking,9,4,1,2,2.6,Mobile Development,Android Developer,Yes,7.04
Aditya Singh,R20240254,Male,21,83.05,77.16,4.0,2,89.7,64,Other,92,Critical Thinking,6,5,2,2,3.9,Cloud Computing,Cloud Engineer,Yes,9.08
Ishaan Singh,R20250255,Male,20,88.6,88.95,6.43,0,80.4,70,Python,63,Critical Thinking,4,5,1,3,1.8,Cloud Computing,Software Developer,Yes,7.44
Muhammad Kumar,R20230256,Male,23,100.0,100.0,8.55,1,85.1,86,Python,65,Communication,5,2,0,0,2.2,Cloud Computing,Cloud Engineer,Yes,7.69
Aarav Verma,R20240257,Female,19,81.92,79.86,8.02,1,76.0,62,JavaScript,33,Problem-Solving,4,0,0,0,5.2,Web Development,Frontend Developer,Yes,4.42
Sai Thakur,R20250258,Female,18,72.91,73.93,7.13,0,83.4,53,Other,63,Project Management,4,2,2,1,0.4,Web Development,Web Developer,Yes,5.8
Meera Gupta,R20230259,Female,21,77.74,71.96,7.37,0,82.7,78,Java,79,Communication,6,1,0,1,4.3,Web Development,Software Developer,Yes,5.7
Sara Jha,R20240260,Male,22,60.31,59.07,6.57,0,91.7,65,JavaScript,50,Leadership,5,1,1,1,1.9,Web Development,Frontend Developer,Yes,5.43
Aarohi Yadav,R20250261,Female,23,71.05,74.71,7.65,2,91.7,67,JavaScript,55,Communication,4,7,1,7,6.5,Data Science,Data Scientist,Yes,10.46
Isha Thakur,R20230262,Other,20,73.91,74.85,8.32,1,86.9,51,Python,78,Problem-Solving,2,3,1,1,3.7,Cybersecurity,Network Engineer,Yes,6.82
Isha Singh,R20240263,Male,22,72.76,69.24,5.46,1,78.4,37,Java,44,Leadership,4,4,0,1,2.0,Data Science,Data Scientist,No,5.91
Arjun Sharma,R20250264,Male,20,79.52,80.87,7.76,0,89.4,68,JavaScript,82,Communication,7,3,1,2,1.1,Cybersecurity,Security Analyst,Yes,7.11
Vihaan Jha,R20230265,Female,20,69.78,74.07,8.52,2,81.1,78,Java,58,Problem-Solving,3,4,0,2,3.3,Cloud Computing,DevOps Engineer,Yes,8.62
Sai Aggarwal,R20240266,Female,22,89.21,76.91,6.9,1,71.2,60,C,60,Problem-Solving,2,7,0,0,0.5,AI/ML,Data Analyst,Yes,8.29
Anika Pathak,R20250267,Female,21,78.0,84.95,8.24,3,78.0,87,Python,49,Project Management,4,2,2,5,3.6,Data Science,ML Engineer,Yes,9.17
Vivaan Chowdhury,R20230268,Female,18,77.91,75.89,10.0,0,82.8,53,C,72,Communication,5,2,1,1,1.1,Data Science,ML Engineer,Yes,8.8
Sai Patel,R20240269,Male,23,74.72,77.27,7.27,0,91.1,47,Python,100,Problem-Solving,3,5,1,1,1.6,Web Development,Backend Developer,Yes,5.37
Sara Kumar,R20250270,Male,23,79.55,86.73,7.87,0,80.2,63,JavaScript,78,Critical Thinking,2,0,1,5,0.0,Data Science,Data Analyst,Yes,7.39
Sara Sheikh,R20230271,Female,20,86.25,78.02,6.51,1,69.9,63,C,53,Problem-Solving,4,4,0,2,3.0,Cybersecurity,Security Analyst,Yes,6.45
Navya Khan,R20240272,Female,21,69.33,65.07,7.62,1,82.6,76,Python,83,Project Management,3,4,1,2,3.1,AI/ML,Software Developer,Yes,9.64
Ananya Pathak,R20250273,Female,21,71.42,69.69,7.95,0,83.1,52,Python,61,Problem-Solving,8,2,1,1,2.8,Cybersecurity,Software Developer,Yes,6.55
Meera Sheikh,R20230274,Female,21,74.96,70.26,7.63,0,83.9,86,Java,87,Communication,4,3,1,2,0.7,Data Science,Software Developer,Yes,7.57
Aadhya Chowdhury,R20240275,Male,20,64.54,74.95,6.18,1,91.2,95,Java,78,Communication,4,5,1,1,4.5,Web Development,Frontend Developer,Yes,6.12
Sara Aggarwal,R20250276,Male,19,69.81,64.67,7.65,0,92.2,63,Python,22,Leadership,7,1,1,4,2.6,Cybersecurity,Security Analyst,Yes,5.91
Myra Pathak,R20230277,Female,20,73.24,69.91,9.15,1,76.1,84,C,51,Communication,6,0,2,2,2.2,Web Development,Software Developer,Yes,5.99
Krishna Singh,R20240278,Female,22,86.74,87.97,7.94,0,75.8,47,Python,80,Leadership,6,0,1,0,3.8,AI/ML,Data Analyst,Yes,7.72
Krishna Sheikh,R20250279,Female,21,80.63,73.42,8.55,0,71.6,81,Java,68,Critical Thinking,6,3,0,2,2.3,Cloud Computing,Cloud Engineer,Yes,8.63
Myra Singh,R20230280,Female,20,79.94,77.57,7.12,0,89.0,81,Python,51,Project Management,8,2,1,2,3.3,Web Development,Web Developer,Yes,5.51
Krishna Pathak,R20240281,Female,22,86.51,88.41,8.3,1,96.5,78,Other,56,Critical Thinking,2,3,0,2,1.9,AI/ML,Data Scientist,Yes,11.14
Aditya Nair,R20250282,Male,18,76.63,74.63,7.74,0,78.8,64,Python,37,Leadership,5,1,1,2,3.8,Cybersecurity,Security Analyst,Yes,6.62
Sai Reddy,R20230283,Male,22,81.9,81.34,6.26,0,79.6,17,C,65,Problem-Solving,1,3,0,0,3.7,Cybersecurity,Network Engineer,No,3.0
Ananya Das,R20240284,Male,18,76.97,73.79,7.78,0,96.7,54,JavaScript,99,Problem-Solving,5,2,0,2,2.3,Web Development,Web Developer,Yes,5.18
Navya Gupta,R20250285,Female,20,80.65,71.56,6.21,1,87.1,54,Python,78,Critical Thinking,7,5,2,2,3.0,Cloud Computing,Cloud Engineer,Yes,9.14
Arjun Kumar,R20230286,Male,19,72.17,74.1,6.64,0,86.4,48,Java,99,Problem-Solving,3,6,0,1,2.8,Web Development,Web Developer,Yes,5.89
Sai Mishra,R20240287,Male,19,53.61,64.14,7.63,0,70.1,66,Python,79,Leadership,3,0,1,0,2.6,AI/ML,ML Engineer,Yes,10.58
Arjun Yadav,R20250288,Male,22,76.66,76.77,7.76,0,88.8,57,Java,81,Project Management,4,3,0,1,1.4,Data Science,Software Developer,Yes,6.66
Aditya Jha,R20230289,Male,20,92.23,93.58,5.97,1,72.7,51,JavaScript,96,Communication,3,3,1,0,1.5,Web Development,Software Developer,Yes,4.92
Aadhya Das,R20240290,Female,21,87.26,91.42,8.66,3,70.7,47,Other,72,Leadership,8,2,2,3,2.3,Data Science,Data Analyst,Yes,7.02
Navya Pathak,R20250291,Male,20,87.65,80.03,8.09,1,78.5,53,Python,63,Leadership,3,4,1,3,2.9,Web Development,Software Developer,Yes,5.24
Aadhya Verma,R20230292,Male,21,90.36,100.0,6.55,2,76.1,82,Python,81,Communication,5,2,0,3,1.7,Data Science,Data Scientist,Yes,10.41
Muhammad Jha,R20240293,Female,21,78.89,80.1,5.55,1,79.8,53,Python,88,Communication,4,1,1,1,2.8,Web Development,Web Developer,Yes,5.51
Isha Bose,R20250294,Male,19,79.97,89.76,7.23,0,67.6,56,Other,59,Project Management,3,5,0,0,0.1,Cloud Computing,SRE,Yes,8.32
Aarav Bose,R20230295,Male,22,71.82,67.42,6.86,3,91.6,57,JavaScript,55,Project Management,4,2,0,3,2.8,Web Development,Software Developer,Yes,5.11
Isha Thakur,R20240296,Male,20,74.84,85.75,7.54,0,93.3,69,C,68,Project Management,3,3,2,2,2.9,Cloud Computing,Cloud Engineer,Yes,8.45
Aarav Roy,R20250297,Female,18,84.16,88.81,6.96,0,62.5,71,C,78,Problem-Solving,2,2,0,0,3.8,Cloud Computing,Cloud Engineer,Yes,9.54
Ishaan Mishra,R20230298,Male,20,90.04,93.36,4.99,2,91.8,15,Python,78,Leadership,4,1,1,4,4.5,Data Science,ML Engineer,No,4.93
Aadhya Chowdhury,R20240299,Female,23,76.61,78.01,6.93,0,73.9,80,C,45,Communication,4,3,0,3,3.6,Data Science,Data Analyst,Yes,7.76
Navya Khan,R20250300,Male,22,73.5,72.01,7.03,1,90.6,87,Python,95,Leadership,1,1,2,1,5.0,Data Science,ML Engineer,Yes,10.23
Sai Thakur,R20230301,Male,20,78.01,85.21,8.16,1,81.3,47,C,56,Leadership,3,1,0,1,2.8,Mobile Development,iOS Developer,Yes,5.85
Sai Reddy,R20240302,Male,20,84.01,84.85,6.56,1,82.3,48,Java,62,Project Management,4,1,0,2,2.9,AI/ML,Software Developer,No,5.28
Aadhya Thakur,R20250303,Male,20,63.56,51.76,9.41,2,80.1,57,Other,52,Project Management,2,2,0,1,3.8,Mobile Development,Android Developer,Yes,5.11
Aarav Mishra,R20230304,Female,24,55.04,48.34,5.11,1,94.1,52,Other,100,Leadership,3,2,0,1,2.7,Data Science,Data Analyst,Yes,7.56
Ananya Mishra,R20240305,Female,21,72.49,71.37,8.97,0,69.6,68,Python,70,Project Management,6,1,0,2,2.4,Cloud Computing,SRE,Yes,9.01
Reyansh Pathak,R20250306,Female,21,65.79,67.65,7.13,2,88.1,33,Java,53,Problem-Solving,5,1,0,2,4.4,Data Science,ML Engineer,No,5.44
Arjun Khan,R20230307,Male,22,72.92,72.58,8.43,1,93.0,46,JavaScript,79,Communication,3,2,0,4,3.7,Cloud Computing,SRE,Yes,9.44
Navya Sharma,R20240308,Male,21,76.52,83.83,7.5,2,89.2,89,C,78,Leadership,4,2,1,0,3.6,Web Development,Software Developer,Yes,5.64
Isha Bose,R20250309,Female,20,73.47,61.76,8.77,0,100.0,49,Java,63,Communication,3,0,0,3,1.8,AI/ML,Software Developer,Yes,7.34
Aarohi Sharma,R20230310,Male,20,92.52,93.38,6.94,0,76.7,84,Python,79,Problem-Solving,3,4,0,2,3.9,AI/ML,Data Scientist,Yes,11.62
Aditya Jha,R20240311,Male,20,81.27,70.36,6.08,1,91.6,70,Python,54,Project Management,7,5,0,1,2.9,AI/ML,ML Engineer,Yes,10.0
Arjun Pathak,R20250312,Male,20,81.0,85.56,9.1,0,80.9,35,Python,59,Critical Thinking,3,3,1,1,1.6,Data Science,Data Analyst,Yes,5.76
Reyansh Verma,R20230313,Male,22,84.22,83.65,7.26,0,94.3,74,C,36,Problem-Solving,4,4,1,5,3.6,Cybersecurity,Network Engineer,Yes,6.58
Krishna Mishra,R20240314,Female,21,66.61,69.13,7.67,0,81.9,62,Java,46,Critical Thinking,3,4,1,2,1.4,Web Development,Software Developer,Yes,5.16
Ananya Yadav,R20250315,Female,22,88.39,83.21,8.88,0,78.1,57,Python,93,Communication,4,2,0,4,0.0,AI/ML,Data Analyst,Yes,8.47
Sara Das,R20230316,Female,20,77.24,84.92,6.16,1,95.1,68,Python,91,Leadership,5,1,0,2,0.6,AI/ML,Data Analyst,Yes,8.44
Ananya Mishra,R20240317,Male,21,84.7,90.95,8.11,1,77.1,72,C,67,Project Management,2,3,0,4,2.5,Data Science,Software Developer,Yes,6.8
Krishna Jha,R20250318,Male,18,67.28,70.78,6.69,0,67.9,75,JavaScript,91,Problem-Solving,3,3,0,2,4.6,Cybersecurity,Security Analyst,Yes,7.46
Krishna Gupta,R20230319,Male,22,62.46,61.68,7.24,0,76.8,83,Python,64,Project Management,7,3,0,0,3.2,Web Development,Web Developer,Yes,6.18
Myra Sharma,R20240320,Male,21,86.18,89.66,7.49,2,88.2,71,Java,62,Critical Thinking,2,2,1,1,2.7,Web Development,Software Developer,Yes,5.12
Navya Verma,R20250321,Male,22,81.76,77.52,5.6,1,95.9,42,Java,67,Critical Thinking,2,0,0,0,4.4,Data Science,Data Analyst,Yes,6.32
Diya Singh,R20230322,Female,18,68.98,74.11,6.47,0,83.1,56,Python,64,Leadership,4,1,0,1,3.4,Cloud Computing,Cloud Engineer,Yes,8.1
Aditya Verma,R20240323,Female,24,69.3,79.2,9.02,1,95.2,100,Python,63,Critical Thinking,4,3,1,1,4.0,AI/ML,ML Engineer,Yes,10.77
Aarav Singh,R20250324,Male,20,89.25,95.67,8.46,0,68.4,76,JavaScript,83,Leadership,2,0,0,2,4.0,Cloud Computing,SRE,Yes,9.59
Muhammad Sharma,R20230325,Female,22,66.11,61.73,7.32,1,77.6,100,C,68,Problem-Solving,3,1,0,1,2.4,AI/ML,ML Engineer,Yes,11.46
Meera Kumar,R20240326,Female,19,94.43,96.6,7.69,0,79.1,86,C,77,Leadership,3,3,1,1,2.5,Cybersecurity,SOC Engineer,Yes,7.03
Sai Kumar,R20250327,Male,21,68.99,61.23,7.05,0,80.9,68,JavaScript,81,Critical Thinking,4,1,0,1,1.8,Data Science,Data Scientist,Yes,9.77
Myra Patel,R20230328,Female,19,84.38,87.81,9.03,1,82.8,69,Python,72,Communication,5,4,0,2,3.8,Cloud Computing,DevOps Engineer,Yes,8.25
Aarohi Yadav,R20240329,Male,20,74.71,77.41,7.16,0,88.9,63,Python,51,Leadership,3,1,0,3,1.3,Data Science,Data Analyst,Yes,6.64
